"exp","exp_id","round","exp_tank","treatment","liter","date","time_in","day_starve","start_food","food_in_g","total_fed","left_after_24h","fraction","koura_id","old_id","sex","size_class","size_mm","weight_g","legs","claws","antenna","Moult_date","notes_koura"
"feeding",1,2,1,"catfish","5+1",2025-10-23,1899-12-31 11:00:00,0,10,0.4784,10,9.5,0.95,17,23,"M","M",24.15,8,4,2,2,NA,NA
"feeding",2,2,2,"eel","5+1",2025-10-23,1899-12-31 11:00:00,0,10,0.4506,10,10,1,19,17,"F","M",25.35,12,7,2,2,NA,NA
"feeding",3,2,3,"control","5+1",2025-10-23,1899-12-31 11:00:00,0,10,0.4785,10,9,0.9,20,14,"F","M",26.52,11,8,2,2,NA,NA
"feeding",4,2,4,"catfish","5+1",2025-10-23,1899-12-31 11:00:00,0,10,0.4909,10,10,1,21,NA,"M","M",25.39,9,7,2,2,"15/10/25",NA
"feeding",5,2,5,"eel","5+1",2025-10-23,1899-12-31 11:00:00,0,10,0.4777,10,8,0.8,22,NA,"M","M",28.55,17,8,2,2,NA,NA
"feeding",6,2,6,"control","5+1",2025-10-23,1899-12-31 11:00:00,0,10,0.4799,10,10,1,23,9,"M","M",24.46,10,8,2,2,NA,NA
"feeding",7,2,7,"catfish","5+1",2025-10-23,1899-12-31 11:00:00,0,10,0.4608,10,10,1,24,NA,"M","M",28.59,15,8,1,2,NA,NA
"feeding",8,2,8,"eel","5+1",2025-10-23,1899-12-31 11:00:00,0,10,0.4636,10,9.5,0.95,25,30,"M","M",26.55,13,7,2,2,NA,NA
"feeding",9,2,9,"control","5+1",2025-10-23,1899-12-31 11:00:00,0,10,0.5055,10,10,1,26,NA,"M","M",23.62,8,8,2,2,"24/10/25",NA
"feeding",10,2,10,"catfish","5+1",2025-10-23,1899-12-31 11:00:00,0,10,0.5168,10,10,1,28,NA,"M","M",29.36,17,7,2,2,NA,NA
"feeding",11,2,11,"eel","5+1",2025-10-23,1899-12-31 11:00:00,0,10,0.4749,10,10,1,29,11,"M","M",29.46,17,8,2,2,NA,NA
"feeding",12,2,12,"control","5+1",2025-10-23,1899-12-31 11:00:00,0,10,0.5009,10,10,1,32,13,"M","M",23.96,8,6,2,2,NA,NA
