"experiment","exp_id","round","tank","date","light","treatment","location_T0","behaviour_T0","location_T5","behaviour_T5","location_T10","behaviour_T10","location_T20","behaviour_T20","location_T30","behaviour_T30","location_T45","behaviour_T45","location_T60","behaviour_T60","location_T61","behaviour_T61","location_T65","behaviour_T65","location_T70","behaviour_T70","location_T80","behaviour_T80","location_T90","behaviour_T90","location_T120","behaviour_T120","location_T150","behaviour_T150","location_T180","behaviour_T180","location_T210","behaviour_T210","location_T240","behaviour_T240","location_T245","behaviour_T245","location_T260","behaviour_T260","location_T275","behaviour_T275","location_T290","behaviour_T290","location_T300","behaviour_T300","notes_exp","koura_id","extra_koura_id","old_id","hold_tank","sex","size_class","size_mm1","weight_g1","legs1","claws1","antenna1","note","size_mm2","weight_g2","legs2","claws2","antenna2","moult_date","notes_koura"
"NCE1",1,1,1,2025-10-01,"light","catfish","floor","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static",NA,41,41,2,1,"M","M",27.25,14,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NCE1",2,1,2,2025-10-01,"light","eel","floor","static","wall","static","wall","static","wall","static","barrier","static","barrier","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static",NA,42,42,3,2,"M","M",25.97,11,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NCE1",3,1,3,2025-10-01,"light","control","barrier","walk","wall","static","wall","static","barrier","static","barrier","walk","wall","walk","barrier","static","barrier","static","barrier","static","barrier","static","barrier","climb","wall","static","ref_next","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static",NA,43,43,5,3,"M","M",23.71,9,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NCE1",4,1,4,2025-10-01,"light","catfish","ref_open","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_next","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static",NA,44,44,9,4,"M","M",24.7,10,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NCE1",5,1,5,2025-10-01,"light","eel","barrier","static","wall","walk","wall","walk","wall","walk","barrier","climb","wall","walk","wall","static","floor","walk","wall","static","ref_next","static","barrier","static","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","walk","barrier","climb","barrier","climb","barrier","climb","barrier","climb",NA,45,45,11,5,"M","M",29.49,17,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NCE1",6,1,6,2025-10-01,"light","control","ref_back","static","wall","static","wall","walk","barrier","static","wall","static","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb","ref_next","static","barrier","climb","barrier","climb","wall","walk","ref_next","static","ref_open","static","ref_open","static","ref_open","static","ref_open","static","ref_open","static",NA,46,46,12,6,"M","M",24.57,10,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NCE1",7,1,7,2025-10-01,"light","catfish","floor","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static",NA,47,47,13,7,"M","M",23.84,8,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NCE1",8,1,8,2025-10-01,"light","eel","ref_next","static","ref_next","static","ref_next","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static",NA,48,48,15,8,"M","M",24.17,8,7,1,2,NA,NA,NA,NA,NA,NA,2025-09-24,NA
"NCE1",9,2,1,2025-10-02,"light","control","floor","static","floor","static","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","static","ref_back","static","ref_back","static",NA,NA,"ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static",NA,49,49,16,9,"M","M",25.8,11,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NCE1",10,2,2,2025-10-02,"light","catfish","barrier","static","barrier","static","barrier","static","barrier","static","barrier","static","barrier","climb","barrier","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static",NA,NA,"ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_open","static","ref_back","static","ref_back","static",NA,50,50,22,10,"M","M",28.47,14,8,1,2,NA,NA,NA,NA,NA,NA,2025-09-01,NA
"NCE1",11,2,3,2025-10-02,"light","eel","floor","static","wall","static","barrier","static","barrier","static","barrier","static","barrier","static","barrier","static","floor","static","barrier","static","barrier","static","barrier","static","barrier","static","barrier","static","barrier","climb",NA,NA,"wall","static","barrier","static","barrier","static","barrier","static","barrier","static","barrier","static","barrier","static",NA,51,51,23,11,"M","M",23.85,8,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NCE1",12,2,4,2025-10-02,"light","control","floor","static","barrier","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static",NA,NA,"ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static",NA,52,52,24,12,"M","M",28.17,15,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NCE1",13,2,5,2025-10-02,"light","catfish","ref_next","static","barrier","climb","floor","walk","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb",NA,NA,"barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb",NA,53,53,26,13,"M","M",28.33,17,8,2,2,NA,NA,NA,NA,NA,NA,2025-09-29,NA
"NCE1",14,2,6,2025-10-02,"light","eel","ref_back","static","ref_next","static","barrier","static","barrier","static","barrier","climb","barrier","climb","ref_next","static","ref_next","static","ref_next","static","ref_next","static","barrier","static","barrier","static","wall","static","barrier","climb",NA,NA,"barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb",NA,54,54,28,14,"M","M",26.42,13,8,2,2,NA,NA,NA,NA,NA,NA,2025-09-04,NA
"NCE1",15,2,7,2025-10-02,"light","control","floor","static","wall","static","barrier","static","ref_back","static","barrier","static","barrier","static","barrier","static","barrier","static","barrier","static","barrier","static","barrier","static","barrier","static","barrier","static","barrier","static",NA,NA,"barrier","static","barrier","static","barrier","static","barrier","static","barrier","static","barrier","static","barrier","static",NA,55,55,29,15,"M","M",29.97,17,8,2,2,NA,NA,NA,NA,NA,NA,2025-09-02,NA
"NCE1",16,2,8,2025-10-02,"light","catfish","floor","static","wall","static","ref_back","static","ref_open","static","ref_back","static","ref_open","static","ref_open","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_open","static",NA,NA,"ref_open","static","ref_back","static","ref_back","static","ref_open","static","ref_open","static","ref_back","static","ref_back","static",NA,56,56,30,16,"M","M",27.18,14,7,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"NCE1",17,3,1,2025-10-03,"light","eel","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static",NA,NA,"ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static",NA,57,57,NA,1,"M","M",27.03,13,8,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"NCE1",18,3,2,2025-10-03,"light","control","ref_back","static","ref_back","static","ref_back","static","barrier","static","barrier","climb","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static",NA,NA,"ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static",NA,58,58,NA,2,"M","M",26.88,13,8,0,2,NA,NA,NA,NA,NA,NA,NA,NA
"NCE1",19,3,3,2025-10-03,"light","catfish","ref_next","static","wall","static","ref_back","static","ref_back","static","ref_back","static","barrier","climb","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static",NA,NA,"ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static",NA,59,59,NA,3,"M","M",27.34,8,8,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"NCE1",20,3,4,2025-10-03,"light","eel","ref_next","static","ref_next","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static",NA,NA,"ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static",NA,60,60,NA,4,"M","M",29.45,16,8,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"NCE1",21,3,5,2025-10-03,"light","control","ref_back","static","barrier","climb","ref_back","static","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb",NA,NA,"barrier","climb","barrier","climb","barrier","climb","barrier","climb","ref_open","static","barrier","climb","ref_open","static",NA,61,61,NA,5,"M","M",26.72,9,8,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"NCE1",22,3,6,2025-10-03,"light","catfish","barrier","static","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb",NA,NA,"barrier","climb","barrier","static","barrier","static","wall","walk","barrier","climb","barrier","climb","barrier","climb",NA,46,62,12,6,"M","M",25.61,11,8,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"NCE1",23,3,7,2025-10-03,"light","eel","ref_back","static","barrier","static","barrier","climb","wall","static","wall","static","barrier","static","floor","static","floor","walk","wall","static","wall","static","ref_next","static","wall","static","barrier","static","barrier","climb",NA,NA,"barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb","ref_next","static","barrier","climb","felt out at 58:00 put back in",63,63,NA,7,"M","M",23.58,10,8,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"NCE1",24,3,8,2025-10-03,"light","control","ref_next","static","floor","static","floor","static","ref_open","static","barrier","climb","wall","static","wall","static","wall","static","wall","static","floor","walk","ref_next","static","ref_back","static","ref_back","static","ref_back","static",NA,NA,"ref_back","static","barrier","climb","ref_next","static","ref_back","static","ref_open","static","ref_open","static","ref_open","static",NA,43,64,5,8,"M","M",24.67,9,8,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"NCE1",25,4,1,2025-10-06,"light","catfish","ref_next","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static",NA,NA,"ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static",NA,65,65,NA,9,"M","M",26.79,11,6,0,2,NA,NA,NA,NA,NA,NA,NA,NA
"NCE1",26,4,2,2025-10-06,"light","eel","wall","static","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb","wall","static","wall","static","wall","static","wall","static","wall","static","barrier","climb","ref_open","static","barrier","static",NA,NA,"barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb",NA,66,66,NA,10,"M","M",26.79,12,8,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"NCE1",27,4,3,2025-10-06,"light","control","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static",NA,NA,"ref_back","static","ref_open","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static",NA,67,67,NA,11,"M","M",25.21,9,6,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"NCE1",28,4,4,2025-10-06,"light","catfish","ref_next","static","barrier","static","barrier","static","wall","static","barrier","climb","barrier","static","barrier","climb","barrier","climb","barrier","climb","barrier","climb","wall","static","ref_next","static","barrier","climb","barrier","climb",NA,NA,"barrier","static","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","static","barrier","static",NA,68,68,NA,12,"M","M",24.69,9,8,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"NCE1",29,4,5,2025-10-06,"light","eel","floor","walk","ref_next","static","floor","static","barrier","climb","barrier","climb","barrier","climb","barrier","static","barrier","static","barrier","static","barrier","static","ref_next","static","floor","static","barrier","static","barrier","static",NA,NA,"ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static",NA,69,69,33,13,"M","M",28.29,13,8,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"NCE1",30,4,6,2025-10-06,"light","control","wall","static","ref_next","static","ref_back","static","ref_next","static","barrier","walk","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static",NA,NA,"ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static",NA,70,70,70,14,"M","M",25.98,13,8,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"NCE1",31,4,7,2025-10-06,"light","catfish","wall","static","wall","static","barrier","static","ref_open","static","barrier","walk","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_open","static","ref_open","static","floor","static","ref_next","static",NA,NA,"ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static",NA,71,71,51,15,"M","M",26.79,10,7,0,2,NA,NA,NA,NA,NA,NA,NA,NA
"NCE1",32,4,8,2025-10-06,"light","eel","floor","static","ref_next","static","wall","static","wall","static","barrier","walk","floor","static","barrier","climb","barrier","climb","barrier","climb","barrier","climb","wall","static","ref_next","static","ref_next","static","ref_next","static",NA,NA,"ref_next","static","ref_next","static","wall","static","ref_next","static","ref_next","static","ref_next","static","wall","static",NA,72,72,NA,16,"M","M",28.22,11,8,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"NCE2",33,5,1,2025-10-13,"dark","catfish","floor","walk","ref_next","static","ref_next","static","barrier","walk","barrier","walk","ref_next","static","wall","static","wall","static","wall","static","wall","static","wall","walk","barrier","climb","ref_next","walk","wall","static",NA,NA,"wall","static","wall","static","wall","static","wall","static","ref_next","static","ref_next","static","ref_next","static",NA,43,73,5,1,"M","M",23.72,10,8,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"NCE2",34,5,2,2025-10-13,"dark","eel","wall","walk","ref_next","static","ref_next","static","wall","static","wall","static","wall","static","wall","static","wall","static","floor","walk","ref_next","walk","barrier","climb","barrier","climb","barrier","climb","barrier","climb",NA,NA,"barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb","eel in kōura side t90",74,74,NA,2,"M","M",26.68,14,8,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"NCE2",35,5,3,2025-10-13,"dark","control","barrier","static","wall","static","barrier","climb","barrier","climb","barrier","climb","barrier","climb","floor","walk","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","static","wall","static",NA,NA,"barrier","static","ref_back","static","ref_back","static","ref_back","static","floor","walk","wall","static","barrier","walk",NA,49,75,16,3,"M","M",25.38,9,6,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"NCE2",36,5,4,2025-10-13,"dark","catfish","floor","static","floor","walk","barrier","climb","wall","walk","barrier","climb","wall","walk","wall","walk","wall","static","barrier","static","ref_next","walk","ref_next","static","wall","walk","wall","walk","barrier","static",NA,NA,"ref_next","static","ref_next","static","wall","static","ref_next","static","barrier","static","barrier","walk","barrier","static",NA,76,76,NA,4,"M","L",30.28,19,8,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"NCE2",37,5,5,2025-10-13,"dark","eel","wall","static","ref_next","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static",NA,NA,"wall","static","floor","static","barrier","climb","barrier","climb","barrier","climb","wall","static","ref_next","static",NA,77,77,NA,5,"M","M",26.63,12,8,2,0,NA,NA,NA,NA,NA,NA,NA,NA
"NCE2",38,5,6,2025-10-13,"dark","control","barrier","climb","barrier","walk","ref_back","static","ref_back","static","barrier","walk","barrier","climb","barrier","climb","ref_back","static","ref_back","static","ref_open","static","ref_back","static","ref_back","static","ref_open","static","barrier","climb",NA,NA,"ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static",NA,78,78,NA,6,"M","S",18.35,3,8,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"NCE2",39,5,7,2025-10-13,"dark","catfish","wall","walk","wall","walk","barrier","static","barrier","climb","barrier","climb","ref_next","static","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb","wall","climb","barrier","static","barrier","static",NA,NA,"ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_open","static","ref_back","static",NA,79,79,NA,7,"M","M",24.24,10,6,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"NCE2",40,5,8,2025-10-13,"dark","eel","wall","static","wall","walk","floor","walk","wall","walk","wall","walk","barrier","climb","ref_open","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_open","static","ref_back","static","ref_back","static",NA,NA,"ref_open","static","ref_open","static","ref_back","static","ref_back","static","ref_back","static","ref_open","static","ref_open","static",NA,52,80,24,8,"M","M",20.05,15,8,2,2,"probably error in length measurment",NA,NA,NA,NA,NA,NA,NA
"NCE2",41,6,1,2025-10-14,"dark","control","ref_next","static","barrier","walk","wall","walk","barrier","walk","barrier","walk","barrier","walk","barrier","static","barrier","static","barrier","static","barrier","static","barrier","static","barrier","static","barrier","walk","barrier","walk",NA,NA,"barrier","climb","barrier","climb","barrier","climb","barrier","static","barrier","climb","barrier","climb","barrier","climb",NA,81,81,NA,9,"M","L",30.59,20,8,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"NCE2",42,6,2,2025-10-14,"dark","catfish","barrier","static","ref_back","static","wall","walk","ref_back","static","ref_next","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static",NA,NA,"ref_back","static","ref_back","static","ref_back","static","ref_back","static","barrier","climb","ref_back","static","ref_back","static",NA,82,82,67,10,"M","M",27.43,15,8,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"NCE2",43,6,3,2025-10-14,"dark","eel","floor","static","barrier","static","barrier","static","barrier","walk","barrier","climb","barrier","climb","wall","static","wall","static","barrier","climb","barrier","climb","barrier","climb","barrier","climb","wall","static","ref_next","static",NA,NA,"barrier","climb","ref_next","static","ref_next","static","ref_next","static","barrier","climb","barrier","climb","ref_next","static",NA,83,83,NA,11,"M","M",28.3,15,8,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"NCE2",44,6,4,2025-10-14,"dark","control","floor","static","barrier","static","barrier","static","barrier","walk","ref_open","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_open","static","wall","static","barrier","climb",NA,NA,"floor","static","barrier","climb","barrier","static","barrier","walk","barrier","static","barrier","climb","wall","static",NA,84,84,NA,12,"M","M",25.2,11,8,2,2,"soft",NA,NA,NA,NA,NA,NA,NA
"NCE2",45,6,5,2025-10-14,"dark","catfish","wall","walk","barrier","static","barrier","static","barrier","static","barrier","static","barrier","static","barrier","static","barrier","static","barrier","static","barrier","static","barrier","static","barrier","static","wall","static","wall","static",NA,NA,"ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static",NA,85,85,85,13,"M","M",29.1,13,7,1,2,"soft",NA,NA,NA,NA,NA,2025-10-13,NA
"NCE2",46,6,6,2025-10-14,"dark","eel","ref_next","static","ref_open","static","barrier","walk","barrier","climb","wall","static","barrier","climb","ref_next","static","ref_next","static","ref_next","static","ref_next","static","ref_back","static","wall","static","ref_next","static","ref_next","static",NA,NA,"ref_next","static","ref_next","static","ref_next","static","ref_next","static","ref_next","static","ref_next","static","ref_next","static",NA,55,86,29,14,"M","L",30.95,19,8,2,2,NA,NA,NA,NA,NA,NA,NA,NA
